,Year,Month,Day,State,Latitude,Longitude,Suburb
2249,2008,1,7,Queensland,-28.16887,152.891432,Innisplain
2250,1993,10,26,Queensland,-27.973401,153.192735,Tamborine Mountain
2251,2004,12,12,Queensland,-11.987754,141.868271,Mapoon
2252,2000,3,12,Queensland,-24.827021,149.908205,Warnoah
2253,2016,10,27,Queensland,-13.427637,142.592984,Coen
2254,2004,10,23,Queensland,-24.326589,151.604924,Mount Tom
2255,1984,1,1,Queensland,-27.404794,152.816902,Jollys Lookout
2256,1997,9,29,Queensland,-26.725243,152.341579,Monsildale
2257,2014,2,24,Queensland,-26.39195,150.16226,Gurulmundi
2258,1993,2,1,Queensland,-27.706738,152.892737,Greenbank
2259,2000,9,2,Queensland,-15.846667,145.329444,Bloomfield
2260,2006,5,5,Queensland,-21.031848,147.825199,Newlands (Qld)
2261,1960,1,1,Queensland,-27.606667,152.892778,Goodna
2262,1993,5,24,Queensland,-12.710161,143.323283,Iron Range
2263,1980,3,1,Queensland,-27.502571,152.951068,Chapel Hill (Qld)
2264,2005,2,8,Queensland,-26.815067,152.842566,Crohamhurst
2265,1993,11,20,Queensland,-27.706738,152.859404,White Rock (Ipswich - Qld)
2266,2007,4,20,Queensland,-26.646944,150.604167,Red Hill (Western Downs - Qld)
2267,1996,3,1,Queensland,-25.899017,152.663022,Bauple Forest
2268,1993,10,18,Queensland,-27.506738,152.82607,Kholo
2269,1993,7,12,Queensland,-12.73616,143.262117,Iron Range
2270,1970,1,1,Queensland,-27.64,152.784444,Raceview
2271,1992,5,26,Queensland,-26.506739,153.092724,Coolum Beach
2272,1993,4,9,Queensland,-27.37341,152.196913,Ravensbourne
2273,1994,3,26,Queensland,-23.481754,150.334414,Stanwell
2274,1974,1,1,Queensland,-18.398333,146.117778,Damper Creek
2275,1980,4,1,Queensland,-27.37757,153.101064,Nudgee
2276,2003,2,4,Queensland,-26.4043,152.982559,Tinbeerwah
2277,2017,10,2,Queensland,-17.106156,145.592085,Danbulla
2278,1994,3,2,Queensland,-27.556735,153.226064,Capalaba
2279,1980,1,1,Queensland,-19.998333,145.317778,Basalt (Qld)
2280,2011,3,31,Queensland,-18.238056,146.000806,Ellerbeck
2281,1980,4,1,Queensland,-27.881734,153.359398,Hope Island
