,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
12849,2014,6,25,Northern Territory,-16.57904,137.48812,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12850,2013,8,15,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12851,2014,6,23,Northern Territory,-16.63559,137.42036,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12852,2021,7,15,Northern Territory,-15.35062,133.65302,852,Northern Territory,Birdum,"Birdum, 852, Northern Territory"
12853,2006,11,17,Northern Territory,-13.78329,131.16337,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
12854,2014,5,30,Northern Territory,-12.65875,134.0778,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12855,2019,6,1,Northern Territory,-13.51342,132.50726,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12856,2017,5,3,Northern Territory,-15.47463,131.13019,852,Northern Territory,Gregory,"Gregory, 852, Northern Territory"
12857,2016,9,5,Northern Territory,-12.895713,131.995605,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12858,2013,8,15,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12859,2019,2,25,Northern Territory,-12.660709,131.016409,822,Northern Territory,Weddell,"Weddell, 822, Northern Territory"
12860,2011,9,12,Northern Territory,-13.85352,130.70328,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
12861,2007,6,3,Northern Territory,-13.599708,131.141817,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
12862,2019,6,25,Northern Territory,-13.51287,132.50688,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12863,2019,6,1,Northern Territory,-12.92517,132.58955,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12864,2022,2,5,Northern Territory,-16.08022,133.43277,852,Northern Territory,Birdum,"Birdum, 852, Northern Territory"
12865,2013,8,16,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12866,2021,8,15,Northern Territory,-14.8714,133.11099,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12867,2020,10,8,Northern Territory,-14.413931,132.338593,850,Northern Territory,Lansdowne,"Lansdowne, 850, Northern Territory"
12868,2019,5,10,Northern Territory,-13.51287,132.50688,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12869,2010,10,27,Northern Territory,-12.67512,130.99751,822,Northern Territory,Weddell,"Weddell, 822, Northern Territory"
12870,2017,6,18,Northern Territory,-12.49169,133.107437,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12871,2013,7,8,Northern Territory,-16.53471,137.37856,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12872,2010,11,24,Northern Territory,-13.951627,131.297678,822,Northern Territory,Douglas-Daly,"Douglas-Daly, 822, Northern Territory"
12873,2008,7,22,Northern Territory,-14.214767,134.477046,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12874,2010,11,26,Northern Territory,-13.951703,131.306782,822,Northern Territory,Douglas-Daly,"Douglas-Daly, 822, Northern Territory"
12875,2014,3,26,Northern Territory,-12.69399,132.40172,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12876,2008,4,23,Northern Territory,-12.676557,132.814023,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12877,2008,8,5,Northern Territory,-14.17811,134.276112,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12878,2017,6,21,Northern Territory,-12.49169,133.107437,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12879,2011,7,26,Northern Territory,-14.214767,134.477046,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12880,2019,2,13,Northern Territory,-12.679787,130.7879,822,Northern Territory,Cox Peninsula,"Cox Peninsula, 822, Northern Territory"
12881,2019,8,10,Northern Territory,-13.51287,132.50688,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12882,2017,5,29,Northern Territory,-12.695837,133.318224,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
